name,label,concept,predicateType,group,limit,attributes,required
B01002_001E,Estimate!!Median age!!Total,MEDIAN AGE BY SEX,float,B01002,0,"B01002_001EA,B01002_001M,B01002_001MA",NA
B01002_002E,Estimate!!Median age!!Male,MEDIAN AGE BY SEX,float,B01002,0,"B01002_002EA,B01002_002M,B01002_002MA",NA
B01002_003E,Estimate!!Median age!!Female,MEDIAN AGE BY SEX,float,B01002,0,"B01002_003EA,B01002_003M,B01002_003MA",NA
B01003_001E,Estimate!!Total,TOTAL POPULATION,int,B01003,0,"B01003_001EA,B01003_001M,B01003_001MA",NA
B02001_001E,Estimate!!Total,RACE,int,B02001,0,"B02001_001EA,B02001_001M,B02001_001MA",NA
B02001_002E,Estimate!!Total!!White alone,RACE,int,B02001,0,"B02001_002EA,B02001_002M,B02001_002MA",NA
B02001_003E,Estimate!!Total!!Black or African American alone,RACE,int,B02001,0,"B02001_003EA,B02001_003M,B02001_003MA",NA
B02001_004E,Estimate!!Total!!American Indian and Alaska Native alone,RACE,int,B02001,0,"B02001_004EA,B02001_004M,B02001_004MA",NA
B02001_005E,Estimate!!Total!!Asian alone,RACE,int,B02001,0,"B02001_005EA,B02001_005M,B02001_005MA",NA
B02001_006E,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,RACE,int,B02001,0,"B02001_006EA,B02001_006M,B02001_006MA",NA
B02001_007E,Estimate!!Total!!Some other race alone,RACE,int,B02001,0,"B02001_007EA,B02001_007M,B02001_007MA",NA
B02001_008E,Estimate!!Total!!Two or more races,RACE,int,B02001,0,"B02001_008EA,B02001_008M,B02001_008MA",NA
B02001_009E,Estimate!!Total!!Two or more races!!Two races including Some other race,RACE,int,B02001,0,"B02001_009EA,B02001_009M,B02001_009MA",NA
B02001_010E,"Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",RACE,int,B02001,0,"B02001_010EA,B02001_010M,B02001_010MA",NA
B05001_001E,Estimate!!Total,CITIZENSHIP STATUS IN THE UNITED STATES,int,B05001,0,"B05001_001EA,B05001_001M,B05001_001MA",NA
B05001_002E,"Estimate!!Total!!U.S. citizen, born in the United States",CITIZENSHIP STATUS IN THE UNITED STATES,int,B05001,0,"B05001_002EA,B05001_002M,B05001_002MA",NA
B05001_003E,"Estimate!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas",CITIZENSHIP STATUS IN THE UNITED STATES,int,B05001,0,"B05001_003EA,B05001_003M,B05001_003MA",NA
B05001_004E,"Estimate!!Total!!U.S. citizen, born abroad of American parent(s)",CITIZENSHIP STATUS IN THE UNITED STATES,int,B05001,0,"B05001_004EA,B05001_004M,B05001_004MA",NA
B05001_005E,Estimate!!Total!!U.S. citizen by naturalization,CITIZENSHIP STATUS IN THE UNITED STATES,int,B05001,0,"B05001_005EA,B05001_005M,B05001_005MA",NA
B05001_006E,Estimate!!Total!!Not a U.S. citizen,CITIZENSHIP STATUS IN THE UNITED STATES,int,B05001,0,"B05001_006EA,B05001_006M,B05001_006MA",NA
B05002_001E,Estimate!!Total,PLACE OF BIRTH BY CITIZENSHIP STATUS,int,B05002,0,"B05002_001EA,B05002_001M,B05002_001MA",NA
B05002_002E,Estimate!!Total!!Native,PLACE OF BIRTH BY CITIZENSHIP STATUS,int,B05002,0,"B05002_002EA,B05002_002M,B05002_002MA",NA
B05002_003E,Estimate!!Total!!Native!!Born in state of residence,PLACE OF BIRTH BY CITIZENSHIP STATUS,int,B05002,0,"B05002_003EA,B05002_003M,B05002_003MA",NA
B05002_004E,Estimate!!Total!!Native!!Born in other state in the United States,PLACE OF BIRTH BY CITIZENSHIP STATUS,int,B05002,0,"B05002_004EA,B05002_004M,B05002_004MA",NA
B05002_005E,Estimate!!Total!!Native!!Born in other state in the United States!!Northeast,PLACE OF BIRTH BY CITIZENSHIP STATUS,int,B05002,0,"B05002_005EA,B05002_005M,B05002_005MA",NA
B05002_006E,Estimate!!Total!!Native!!Born in other state in the United States!!Midwest,PLACE OF BIRTH BY CITIZENSHIP STATUS,int,B05002,0,"B05002_006EA,B05002_006M,B05002_006MA",NA
