zip,beds
36301,327
-35957,204
35630,358
-36462,45
36049,29
-35235,317
35967,97
35007,212
-35233,12
-35660,178
-36360,77
-35960,45
-36116,329
36106-1109,270
-36802,372
36278,15
35233,1063
36078,37
35056,145
36420,88
36207,125
-35801,1027
35903,222
-35570,36
-35555,45
35901,256
36033,22
-36330,99
35462,20
36853,46
-36302,235
-35205,409
35042,25
-35650,43
35768,168
36340,73
35010,34
36027,30
36251,46
-36202,250
-35611,66
-36535,112
-35609,185
35594,61
36617,149
35502,207
36608,547
-36451,21
-35401,497
36744,28
36092,33
36427,46
-36532,129
35161,85
36726-1610,21
35211,279
35213,352
-36067,50
35477,40
36089,30
36732,37
-36652,618
35023,187
36701,109
36461,49
35565,49
36081,97
36545,35
36507,55
35125,40
36925,33
35209,425
36265,33
-36401,44
-36117,176
36037,44
35661,122
35653,49
35150,122
36867,47
36502,49
35045,26
36518,15
-35582,25
36904,25
-35121,25
99519-6604,391
-99645,74
-99801,45
99701,122
99508,338
99559,34
-99969,49
-99686,11
-99835,12
-99833,12
-99929,8
99615,24
-99574,13
-99762,18
99576,18
99752,17
99901-5746,25
99723,20
-99603,21
99835,25
85031-1703,228
85006,807
85712,441
86326,92
-85745,349
-85732,451
86301,206
85364,406
85020,262
85122,141
85008,387
86001,245
85013,460
85015-2443,129
85541,50
85224,338
85251,327
85635,75
86401,196
-85351,410
85901,89
85724-0001,479
85202,615
-85548,49
-86403,144
86504,56
86045,73
85634-0548,14
85542,8
85016,133
85032,127
86503,60
-85741,281
85258,427
-85206,318
85308,499
85027,204
85375,314
85308-7100,262
-86442,139
85054,266
85206,134
85015,32
85395,323
85713,132
85225,24
85941,40
-85755,111
85037,317
-86426,72
85296,198
85295,19
85209,142
85234,165
85255,120
85140,53
85132,36
85120,20
85339,16
85614,49
-85390,19
85602-2990,22
-85644,24
86040,25
86042,6
85344,20
85247,12
86505,25
-86047,25
-85603,14
-85621,25
-85501,25
85938,21
-85344,25
72761,44
-72830,57
-72703,320
72205,908
72758,206
72833,41
-72143,205
71953,41
-72601,120
72956,39
-72335,56
72401-3156,329
72764,275
71913,213
72653,170
-72034,139
-72117,177
-72450,114
72801,137
72455,32
71701,82
-71655,49
72901,320
72917-7000,343
-71753,30
72315,33
-71603,271
72160,49
-72076,47
-72104,64
71901,127
-72015,130
72342,127
71731,98
-72205,683
72401,224
-72501,184
72211,112
72120,49
-72118,49
72703,20
71801,67
72032,110
-72855,16
72834,25
-72949,25
72632,15
72958-2230,24
72519,25
-72396,15
-71654,25
-72476,25
72560-2300,25
71852,25
-72543,25
-72031,25
-72042,25
72370,25
-71742,22
72927-0290,24
71832,25
-71822,25
-71923,25
72576,25
-71635,25
-72110,25
71639,25
-71671,25
71653,25
-72616,25
72454,25
72736,25
94545-4383,195
95501,133
-94010,241
94117-3389,137
94558,145
94574,117
95642-2198,52
95819,389
90012,138
92501,456
91950,230
92103,1156
-91942,443
95521,78
-95965,133
93303,421
-95128,393
95926,298
91342,241
96080,49
-94609,296
-92243,161
94115-1925,464
-92220,61
94110-4403,120
93534,393
93291-6237,403
-91204,241
93721-1324,749
90027,777
-95361,35
92863-5600,397
94080-3208,120
-95051,327
-94596,233
-94589,200
94611,365
-94115,239
-90732,186
93030,242
95204,355
92411,185
94576,48
-90255,81
93720,375
91790,13
91786,363
-92123,832
94589-2574,106
92503,191
90033,904
-90262,339
93456,238
-95816,523
-93436,60
90404,531
-94403,100
92025-2762,356
91328,318
95336,73
-93230,230
95023,170
91208,123
95116,258
91405,333
95695,77
92056-4506,298
92404,328
-94945,47
91778-1507,187
-95901,209
90028,559
-94954,80
-91402,218
-90706,352
92335,626
93942-6032,227
91010,217
90015,318
95945,104
94109,150
95128,324
91436,82
93003,473
95231,196
92835,290
-90602,332
-95405,261
95382,209
94598-3198,506
-93930,76
90813-3393,273
-93654,49
95076,106
94538,289
94160,208
93551,157
91740,212
94501,34
-91911,243
92658-6100,518
95969,0
-92801,223
-94110,284
92634,167
-91767,412
93401,98
-92118,59
91505-4866,377
93065,144
91007,318
92106,323
95065,202
92262,325
-92324,366
-93906,148
